"","season_year","unique_code","cruise","S_L","S_S","latitude","longitude","month","year","Bathylagoides.wesethi","Ceratoscopelus.townsendi","Chauliodus.macouni","Diogenichthys.atlanticus","Leuroglossus.stilbius","Lipolagus.ochotensis","Protomyctophum.crockeri","Stenobrachius.leucopsarus","Symbolophorus.californiensis","Tarletonbeania.crenularis","Triphoturus.mexicanus","Vinciguerria.lucetia","S_C","S_SC","season","line_station","sampling_extent"
"1","fall 1951","5109 CR 120 30 C1","5109 CR",120,30,28.21666667,-114.57,9,1951,0,0,0,0,0,0,0,0,0,0,51.3,5.7,5109,"CR","fall","120 30","153.3  to  70"
"2","fall 1951","5109 CR 120 60 C1","5109 CR",120,60,27.225,-116.525,9,1951,2.77,0,0,0,0,0,0,0,0,0,5.54,60.94,5109,"CR","fall","120 60","153.3  to  70"
"3","fall 1951","5109 BD 90 53 C1","5109 BD",90,53,32.64166667,-119.4833333,9,1951,0,4.82,0,0,0,0,2.41,0,12.05,0,9.64,4.82,5109,"BD","fall","90 53","153.3  to  70"
"4","fall 1951","5109 CR 130 40 C1","5109 CR",130,40,26.26666667,-114.1666667,9,1951,0,0,0,0,0,0,0,0,0,0,13.28,6.64,5109,"CR","fall","130 40","153.3  to  70"
"5","fall 1951","5109 BD 80 70 C1","5109 BD",80,70,33.81666667,-121.85,9,1951,0,0,0,0,0,0,0,0,0,0,2.52,0,5109,"BD","fall","80 70","153.3  to  70"
"6","fall 1951","5109 BD 80 80 C1","5109 BD",80,80,33.48333333,-122.5333333,9,1951,0,2.76,0,0,0,0,5.52,0,0,0,0,5.52,5109,"BD","fall","80 80","153.3  to  70"
"7","fall 1951","5109 BD 80 90 C1","5109 BD",80,90,33.15,-123.2166667,9,1951,0,0,0,0,0,0,6.32,0,0,0,3.16,0,5109,"BD","fall","80 90","153.3  to  70"
"8","fall 1951","5109 BD 93.3 50 C1","5109 BD",93.3,50,32.16666667,-118.8916667,9,1951,2.52,0,0,0,0,0,0,0,0,0,0,17.64,5109,"BD","fall","93.3 50","153.3  to  70"
"9","fall 1951","5109 BD 90 30 C1","5109 BD",90,30,33.40833333,-117.9166667,9,1951,0,0,0,0,0,0,0,0,0,0,0,0,5109,"BD","fall","90 30","153.3  to  70"
"10","fall 1951","5109 CR 123.3 37 C1","5109 CR",123.3,37,27.4,-114.6666667,9,1951,0,0,0,0,0,0,0,0,0,0,0,0,5109,"CR","fall","123.3 37","153.3  to  70"
"11","fall 1951","5109 CR 123.3 40 C1","5109 CR",123.3,40,27.32166667,-114.8166667,9,1951,0,0,0,0,0,0,0,0,0,0,0,0,5109,"CR","fall","123.3 40","153.3  to  70"
"12","fall 1951","5109 CR 126.7 34 C1","5109 CR",126.7,34,26.925,-114.1,9,1951,0,0,0,0,0,0,0,0,0,0,0,0,5109,"CR","fall","126.7 34","153.3  to  70"
"13","fall 1951","5109 CR 126.7 40 C1","5109 CR",126.7,40,26.73333333,-114.4833333,9,1951,0,0,0,0,0,0,0,0,0,0,0,0,5109,"CR","fall","126.7 40","153.3  to  70"
"14","fall 1951","5109 CR 130 30 C1","5109 CR",130,30,26.48333333,-113.4833333,9,1951,0,0,0,0,0,0,0,0,0,0,0,31.52,5109,"CR","fall","130 30","153.3  to  70"
"15","fall 1951","5109 CR 130 50 C1","5109 CR",130,50,25.85,-114.7583333,9,1951,0,0,0,0,0,0,0,0,0,0,22.61,12.92,5109,"CR","fall","130 50","153.3  to  70"
"16","fall 1951","5109 BD 100 30 C1","5109 BD",100,30,31.675,-116.775,9,1951,0,0,0,0,0,0,0,0,0,0,33.6,0,5109,"BD","fall","100 30","153.3  to  70"
"17","fall 1951","5109 BD 80 60 C1","5109 BD",80,60,34.15,-121.15,9,1951,0,0,0,0,0,0,0,0,0,0,0,0,5109,"BD","fall","80 60","153.3  to  70"
"18","fall 1951","5109 CR 120 25 C1","5109 CR",120,25,28.38333333,-114.25,9,1951,0,0,0,0,0,0,0,0,0,0,1.89,0,5109,"CR","fall","120 25","153.3  to  70"
"19","fall 1951","5109 CR 130 70 C1","5109 CR",130,70,25.05,-116.2166667,9,1951,0,0,0,0,0,0,0,0,0,0,39.34,73.06,5109,"CR","fall","130 70","153.3  to  70"
"20","fall 1951","5109 BD 100 40 C1","5109 BD",100,40,31.35,-117.45,9,1951,0,0,0,0,0,0,0,0,0,0,82.88,0,5109,"BD","fall","100 40","153.3  to  70"
"21","fall 1951","5109 BD 100 50 C1","5109 BD",100,50,31.01666667,-118.1166667,9,1951,0,0,0,0,0,0,0,0,0,0,2.58,0,5109,"BD","fall","100 50","153.3  to  70"
"22","fall 1951","5109 BD 100 60 C1","5109 BD",100,60,30.68333333,-118.7916667,9,1951,2.62,0,0,0,0,0,0,0,5.24,2.62,41.92,20.96,5109,"BD","fall","100 60","153.3  to  70"
"23","fall 1951","5109 BD 90 37 C1","5109 BD",90,37,33.18333333,-118.3916667,9,1951,0,0,0,0,0,0,0,0,0,0,0,0,5109,"BD","fall","90 37","153.3  to  70"
"24","fall 1951","5109 BD 90 45 C1","5109 BD",90,45,32.90833333,-118.9333333,9,1951,0,0,0,0,0,0,0,0,0,0,0,0,5109,"BD","fall","90 45","153.3  to  70"
"25","fall 1951","5109 CR 153.3 20 C1","5109 CR",153.3,20,22.8,-110.3666667,9,1951,2.72,0,0,0,0,0,0,0,0,0,0,27.2,5109,"CR","fall","153.3 20","153.3  to  70"
"26","fall 1951","5109 BD 90 60 C1","5109 BD",90,60,32.41666667,-119.9583333,9,1951,0,0,0,0,0,0,10.92,0,0,0,10.92,27.3,5109,"BD","fall","90 60","153.3  to  70"
"27","fall 1951","5109 BD 90 70 C1","5109 BD",90,70,32.075,-120.65,9,1951,0,0,0,0,0,0,0,0,0,0,0,0,5109,"BD","fall","90 70","153.3  to  70"
"28","fall 1951","5109 BD 93.3 30 C1","5109 BD",93.3,30,32.83333333,-117.525,9,1951,0,0,0,0,0,0,2.28,0,0,0,9.12,0,5109,"BD","fall","93.3 30","153.3  to  70"
"29","fall 1951","5109 CR 130 60 C1","5109 CR",130,60,25.38333333,-115.4166667,9,1951,0,0,0,0,0,0,0,0,0,0,6.34,63.4,5109,"CR","fall","130 60","153.3  to  70"
"30","fall 1951","5109 BD 93.3 40 C1","5109 BD",93.3,40,32.5,-118.2083333,9,1951,0,0,0,0,0,0,0,0,0,0,0,0,5109,"BD","fall","93.3 40","153.3  to  70"
"31","fall 1951","5109 BD 106.7 40 C1","5109 BD",106.7,40,30.175,-116.725,9,1951,0,0,0,0,0,0,0,0,0,0,98.05,21.2,5109,"BD","fall","106.7 40","153.3  to  70"
"32","fall 1951","5109 CR 146.7 30 C1","5109 CR",146.7,30,23.6,-111.6916667,9,1951,0,0,0,0,0,0,0,0,0,0,0,21.6,5109,"CR","fall","146.7 30","153.3  to  70"
"33","fall 1951","5109 CR 133.3 30 C1","5109 CR",133.3,30,25.90833333,-113.125,9,1951,0,0,0,0,0,0,0,0,0,0,7.71,28.27,5109,"CR","fall","133.3 30","153.3  to  70"
"34","fall 1951","5109 CR 136.7 23 C1","5109 CR",136.7,23,25.56666667,-112.31,9,1951,0,0,0,0,0,0,0,0,0,0,0,5.12,5109,"CR","fall","136.7 23","153.3  to  70"
"35","fall 1951","5109 CR 136.7 30 C1","5109 CR",136.7,30,25.35,-112.725,9,1951,0,0,0,0,0,0,0,0,0,0,46.24,372.64,5109,"CR","fall","136.7 30","153.3  to  70"
"36","fall 1951","5109 BD 100 70 C1","5109 BD",100,70,30.34166667,-119.45,9,1951,0,0,0,0,0,0,2.61,0,5.22,0,33.93,23.49,5109,"BD","fall","100 70","153.3  to  70"
"37","fall 1951","5109 BD 100 80 C1","5109 BD",100,80,30.01666667,-120.1166667,9,1951,0,0,0,0,0,0,0,0,0,0,7.86,20.96,5109,"BD","fall","100 80","153.3  to  70"
